region_id,station_id,capacity,name,short_name,lon,lat,android_rental_uri,ios_rental_uri
"71","66dbf215-0aca-11e7-82f6-3863bb44ef7c",51,"Washington St & Gansevoort St","6039.06",-74.008119,40.739323,"https://bkn.lft.to/lastmile_qr_scan","https://bkn.lft.to/lastmile_qr_scan"
"71","0e405c35-322f-4705-8ea7-769eb3fd028a",19,"Wales Ave & E 147 St","7751.05",-73.907729,40.811314,"https://bkn.lft.to/lastmile_qr_scan","https://bkn.lft.to/lastmile_qr_scan"
"71","66dd3cb4-0aca-11e7-82f6-3863bb44ef7c",35,"21 St & Queens Plaza North","6471.02",-73.94335788,40.75325964,"https://bkn.lft.to/lastmile_qr_scan","https://bkn.lft.to/lastmile_qr_scan"
"71","dee5a590-7cda-465e-8351-b0622a5e2ad3",19,"Walton Ave & E 153 St","7945.07",-73.926907,40.822351,"https://bkn.lft.to/lastmile_qr_scan","https://bkn.lft.to/lastmile_qr_scan"
"71","66db460d-0aca-11e7-82f6-3863bb44ef7c",29,"Maiden Ln & Pearl St","5065.10",-74.00731853,40.70706456,"https://bkn.lft.to/lastmile_qr_scan","https://bkn.lft.to/lastmile_qr_scan"
"70","66dd5960-0aca-11e7-82f6-3863bb44ef7c",22,"City Hall","JC003",-74.043845,40.7177325,"https://bkn.lft.to/lastmile_qr_scan","https://bkn.lft.to/lastmile_qr_scan"
"70","66dd8479-0aca-11e7-82f6-3863bb44ef7c",22,"Essex Light Rail","JC038",-74.0364857,40.7127742,"https://bkn.lft.to/lastmile_qr_scan","https://bkn.lft.to/lastmile_qr_scan"
"70","66ddda59-0aca-11e7-82f6-3863bb44ef7c",14,"Jersey & 3rd","JC074",-74.04595255851744,40.72333158646436,"https://bkn.lft.to/lastmile_qr_scan","https://bkn.lft.to/lastmile_qr_scan"
,"1839334257267825432",14,"4 St & River St","HB611",-74.0274062,40.7408139,"https://bkn.lft.to/lastmile_qr_scan","https://bkn.lft.to/lastmile_qr_scan"
"311","f417d8da-0f15-49b0-9e3c-3c3e55c2691d",24,"11 St & Washington St","HB502",-74.02715027332306,40.74998490907138,"https://bkn.lft.to/lastmile_qr_scan","https://bkn.lft.to/lastmile_qr_scan"
"70","66dd5e69-0aca-11e7-82f6-3863bb44ef7c",18,"Union St","JC051",-74.0836394,40.7182113,"https://bkn.lft.to/lastmile_qr_scan","https://bkn.lft.to/lastmile_qr_scan"
"311","4a48175b-c239-4d5e-b1b8-03eda4239678",32,"14 St Ferry - 14 St & Shipyard Ln","HB202",-74.02435272932053,40.752960630464955,"https://bkn.lft.to/lastmile_qr_scan","https://bkn.lft.to/lastmile_qr_scan"
"311","7478be11-37d8-49b1-a253-f0810045f6ff",22,"7 St & Monroe St","HB304",-74.03797701001167,40.74641264837719,"https://bkn.lft.to/lastmile_qr_scan","https://bkn.lft.to/lastmile_qr_scan"
"311","681a8bdb-65ff-4078-a5de-74927502da4e",18,"9 St HBLR - Jackson St & 8 St","HB305",-74.03841152787209,40.74790720968899,"https://bkn.lft.to/lastmile_qr_scan","https://bkn.lft.to/lastmile_qr_scan"
"311","537a2f47-26a3-4776-ba9d-e2acd2ffbee1",22,"City Hall - Washington St & 1 St","HB105",-74.03097,40.73736,"https://bkn.lft.to/lastmile_qr_scan","https://bkn.lft.to/lastmile_qr_scan"
"311","3d1db3fa-1df5-46c8-baf3-619b729f5bda",18,"4 St & Grand St","HB301",-74.03511106967926,40.7422579775645,"https://bkn.lft.to/lastmile_qr_scan","https://bkn.lft.to/lastmile_qr_scan"
"70","e163ce54-4c39-43c5-9831-e10a2603527d",21,"JC Medical Center","JC110",-74.04969155788422,40.71539114317,"https://bkn.lft.to/lastmile_qr_scan","https://bkn.lft.to/lastmile_qr_scan"
"70","6107e75a-2493-4e3d-a3e0-d4886d3416e5",14,"Montgomery St","JC099",-74.05099,40.71942,"https://bkn.lft.to/lastmile_qr_scan","https://bkn.lft.to/lastmile_qr_scan"
"311","d09709d2-e119-48c4-aa22-29432a13a35a",14,"Bloomfield St & 15 St","HB203",-74.02658,40.75453,"https://bkn.lft.to/lastmile_qr_scan","https://bkn.lft.to/lastmile_qr_scan"
"70","66dd6721-0aca-11e7-82f6-3863bb44ef7c",18,"Newport PATH","JC066",-74.0337589,40.7272235,"https://bkn.lft.to/lastmile_qr_scan","https://bkn.lft.to/lastmile_qr_scan"
"70","2de92329-48d0-4cf7-85df-172f91bbb320",30,"Harborside","JC104",-74.034234,40.7192517,"https://bkn.lft.to/lastmile_qr_scan","https://bkn.lft.to/lastmile_qr_scan"
"70","66ddded0-0aca-11e7-82f6-3863bb44ef7c",14,"Astor Place","JC077",-74.07126188278198,40.71928220070702,"https://bkn.lft.to/lastmile_qr_scan","https://bkn.lft.to/lastmile_qr_scan"
"311","ded4386f-9f69-43c6-a566-4511920c3e39",20,"Mama Johnson Field - 4 St & Jackson St","HB404",-74.04004096984863,40.74313993965626,"https://bkn.lft.to/lastmile_qr_scan","https://bkn.lft.to/lastmile_qr_scan"
"311","c32d6965-4fae-4f1f-a5f2-7f2ef5f439fc",21,"Madison St & 1 St","HB402",-74.0393,40.73879,"https://bkn.lft.to/lastmile_qr_scan","https://bkn.lft.to/lastmile_qr_scan"
"311","0b56ffe7-056e-43ef-a0ac-9e1790f02f3d",46,"Hoboken Terminal - River St & Hudson Pl","HB102",-74.02912706136703,40.7360676564825,"https://bkn.lft.to/lastmile_qr_scan","https://bkn.lft.to/lastmile_qr_scan"
"70","66dddc98-0aca-11e7-82f6-3863bb44ef7c",26,"Marin Light Rail","JC013",-74.04281705617905,40.71458403535893,"https://bkn.lft.to/lastmile_qr_scan","https://bkn.lft.to/lastmile_qr_scan"
"311","0bb12c94-efdb-40ac-98fe-9521ba373b57",30,"South Waterfront Walkway - Sinatra Dr & 1 St","HB103",-74.02778059244156,40.73698221818716,"https://bkn.lft.to/lastmile_qr_scan","https://bkn.lft.to/lastmile_qr_scan"
"311","43318169-d1ae-4a1a-9578-23cfa3fdbac9",21,"Church Sq Park - 5 St & Park Ave","HB601",-74.03223305940628,40.74265933273143,"https://bkn.lft.to/lastmile_qr_scan","https://bkn.lft.to/lastmile_qr_scan"
"70","3742e2ab-6cd0-40cf-846a-72cbe637afe1",30,"Exchange Pl","JC116",-74.034343957901,40.71636596185077,"https://bkn.lft.to/lastmile_qr_scan","https://bkn.lft.to/lastmile_qr_scan"
